60900106;1
60900116;0
60900213;1
60900203;0
60900316;1
60900306;0
60900412;1
60900402;0
60900515;1
60900505;0
60900614;1
60900604;0
60900713;1
60900703;0
60900805;1
60900815;0
60900903;1
60900913;0
60901005;1
60901015;0
60901104;1
60901114;0
60901207;1
60901217;0
60901302;1
60901312;0
60901414;1
60901404;0
60901513;1
60901503;0
60901604;1
60901614;0
60901705;1
60901715;0
60901816;1
60901806;0
60901918;1
60901908;0
60902008;1
60902018;0
60902114;1
60902104;0
60902206;1
60902216;0
60902303;1
60902313;0
60902415;1
60902405;0
60902503;1
60902513;0
60902603;1
60902613;0
60902717;1
60902707;0
60902804;1
60902814;0
60902912;1
60902902;0
60903007;1
60903017;0
